d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A026-014,A025-A026-012,A025-A026-011,A025-009,A025-002,A026-A009-001,A026-A009-002,A026-A009-005,A025-A026-027,A026-A089-001,A026-A089-002,A025-A026-006,A026-A009-006,A025-A026-010,A026-A001-003,A026-A001-001,A026-A001-002,A026-A001-004
0001-20090401-18-1-1-463,,,0001-20090401-18-1-1-463,entries,1-463,2008-08-19,manual,gj,General,18,,,,,,,,,,,,,
0001-20090401-18-1-1-463,1,,,,,,,,,,726,旅費交通費,account,debit,18572,ISO4217:JPY,2009-04-01,proposed,旅費,,,,
0001-20090401-18-1-1-463,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090401-18-1-1-463,2,,,,,,,,,,191,仮払消費税等,account,debit,928,ISO4217:JPY,2009-04-01,tax,,,,,
0001-20090401-18-1-1-463,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090401-18-1-1-463,3,,,,,,,,,,111,現金,account,credit,19500,ISO4217:JPY,2009-04-01,proposed,旅費,,,,
0001-20090401-18-1-1-463,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090401-246-2-1-465,,,0001-20090401-246-2-1-465,entries,2-465,2008-08-19,manual,gj,General,246,,,,,,,,,,,,,
0001-20090401-246-2-1-465,1,,,,,,,,,,726,旅費交通費,account,debit,9524,ISO4217:JPY,2009-04-01,proposed,旅費,,,,
0001-20090401-246-2-1-465,1,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090401-246-2-1-465,2,,,,,,,,,,191,仮払消費税等,account,debit,476,ISO4217:JPY,2009-04-01,tax,,,,,
0001-20090401-246-2-1-465,2,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090401-246-2-1-465,3,,,,,,,,,,111,現金,account,credit,10000,ISO4217:JPY,2009-04-01,proposed,旅費,,,,
0001-20090401-246-2-1-465,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090402-122-5-1-471,,,0001-20090402-122-5-1-471,entries,5-471,2008-08-19,manual,gj,General,122,,,,,,,,,,,,,
0001-20090402-122-5-1-471,1,,,,,,,,,,727,通信費,account,debit,1000,ISO4217:JPY,2009-04-02,proposed,証明書発行手数料,,,,
0001-20090402-122-5-1-471,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-122-5-1-471,2,,,,,,,,,,191,仮払消費税等,account,debit,50,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-122-5-1-471,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-122-5-1-471,3,,,,,,,,,,111,現金,account,credit,1050,ISO4217:JPY,2009-04-02,proposed,証明書発行手数料,,,,
0001-20090402-122-5-1-471,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090402-142-6-1-473,,,0001-20090402-142-6-1-473,entries,6-473,2008-08-19,manual,gj,General,142,,,,,,,,,,,,,
0001-20090402-142-6-1-473,1,,,,,,,,,,740,車両費,account,debit,2458,ISO4217:JPY,2009-04-02,proposed,高速代,,,,
0001-20090402-142-6-1-473,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,2,,,,,,,,,,191,仮払消費税等,account,debit,122,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-142-6-1-473,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,3,,,,,,,,,,111,現金,account,credit,14050,ISO4217:JPY,2009-04-02,proposed,高速代,,,,
0001-20090402-142-6-1-473,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090402-142-6-1-473,4,,,,,,,,,,740,車両費,account,debit,591,ISO4217:JPY,2009-04-02,proposed,駐車代,,,,
0001-20090402-142-6-1-473,4,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,5,,,,,,,,,,191,仮払消費税等,account,debit,29,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-142-6-1-473,5,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,6,,,,,,,,,,740,車両費,account,debit,4620,ISO4217:JPY,2009-04-02,proposed,ガソリン代,,,,
0001-20090402-142-6-1-473,6,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,7,,,,,,,,,,191,仮払消費税等,account,debit,230,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-142-6-1-473,7,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,8,,,,,,,,,,740,車両費,account,debit,5715,ISO4217:JPY,2009-04-02,proposed,洗車券代,,,,
0001-20090402-142-6-1-473,8,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-142-6-1-473,9,,,,,,,,,,191,仮払消費税等,account,debit,285,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-142-6-1-473,9,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090402-19-3-1-467,,,0001-20090402-19-3-1-467,entries,3-467,2008-08-19,manual,gj,General,19,,,,,,,,,,,,,
0001-20090402-19-3-1-467,1,,,,,,,,,,726,旅費交通費,account,debit,10477,ISO4217:JPY,2009-04-02,proposed,旅費,,,,
0001-20090402-19-3-1-467,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090402-19-3-1-467,2,,,,,,,,,,191,仮払消費税等,account,debit,523,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-19-3-1-467,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090402-19-3-1-467,3,,,,,,,,,,111,現金,account,credit,11000,ISO4217:JPY,2009-04-02,proposed,旅費,,,,
0001-20090402-19-3-1-467,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090402-68-4-1-469,,,0001-20090402-68-4-1-469,entries,4-469,2008-08-19,manual,gj,General,68,,,,,,,,,,,,,
