No,module,kind,object class id,Oject Class term,Level,Card,attribute id,Property term,Representation term qualifier,Representation term,Associated Object Class,Semantic data type,Description,Type,Oject Class term (entity),Property term (attribute),Representation term (domain),Ref. Object Class,Ref. Property,Tag
2,Base,ABIE,BS01,Business Segment,1,--,0,Details,,,,,"The BAS_Business_Segment [BasBusSg] and the BAS_Business_Segment_Hierarchy [BasBusSgHrchy] have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units e.g. business unit, department, cost center and project).The fields within the BAS_Business_Segment [BasBusSg] are used to capture the individual organizational unit represented by each box on an organizational diagram.",E,BAS BUSINESS SEGMENT,,,,,BasBusSg
3,Base,IDBIE,BS01,Business Segment,2,1..1,1,Business Segment Code,,Identifier,,PK,Code for each business segment.,A,BAS BUSINESS SEGMENT,Business Segment Code,IDENTIFIER 25,,,BusSgCd
4,Base,BBIE,BS01,Business Segment,2,0..1,2,Business Segment Name,,Text,,Text,Name of the business segment.,A,BAS BUSINESS SEGMENT,Business Segment Name,NAME 25,,,BusSgNm
5,Base,BBIE,BS01,Business Segment,2,0..1,3,Segment Reference Level,,Code,,Code,"Relative level of the segment, with 1 being the consolidated level and the numbers increasing through the lower levels of the organizational chart.",A,BAS BUSINESS SEGMENT,Segment Reference Level,REFERENCE LEVEL,,,SgRefLevel
6,Base,BBIE,BS01,Business Segment,2,0..1,4,Organization Type Name,,Text,,Text,"Indicates the name of the organization type (e.g. department, cost centre).",A,BAS BUSINESS SEGMENT,Organization Type Name,NAME 60,,,OrgTypNm
7,Base,ABIE,BS02,Business Segment Hierarchy,1,--,0,Details,,,,,"The fields in the BAS_Business_Segment_Hierarchy [BasBusSgHrchy] are used to capture the relationships between the individual organization units. The table assumes a one to one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division).",E,BAS BUSINESS SEGMENT HIERARCHY,,,,,BasBusSgHrchy
8,Base,RFBIE,BS02,Business Segment Hierarchy,2,1..1,1,Parent Code,,,Business Segment,REF,Code for the parent business segment.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,A,BAS BUSINESS SEGMENT HIERARCHY,Parent Code,IDENTIFIER 25,BAS BUSINESS SEGMENT,Business Segment Code,ParCd
9,Base,RFBIE,BS02,Business Segment Hierarchy,2,1..1,2,Child Code,,,Business Segment,REF,Code for the child business segment.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,A,BAS BUSINESS SEGMENT HIERARCHY,Child Code,IDENTIFIER 25,BAS BUSINESS SEGMENT,Business Segment Code,ChildCd
10,Base,ABIE,BS03,Employee,1,--,0,Details,,,,,Contains the personnel information of the employee in an independent accounting unit.,E,BAS EMPLOYEE,,,,,BasEmp
11,Base,IDBIE,BS03,Employee,2,1..1,1,Employee ID,,Identifier,,PK,Unique identifier for an employee. Typically auto-generated by the system.,A,BAS EMPLOYEE,Employee ID,IDENTIFIER 60,,,EmpId
