Module,#,Table,No.,Name,Datatype,Representation,Description,Level,Key,Ref Field,Ref Table,Kind,Dictionary Entry Name,Object Class Term Qualifier,Object Class Term,Property Term Qualifier,Property Term,Datatype Qualifier,Representation term,Associated Object Class Term Qualifier,Associated Object Class,Occurrence Min,Occurrence Max,XBRL GL Taxonomy Element
Base,1,BAS_Business_Segment,0,,,,"The BAS_Business_Segment (Table 4) and the BAS_Business_Segment_Hierarchy (Table 6) have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units, e.g. business unit, department, cost center and project. Instructions on how to implement the business segment structures (4.4.2 and 4.4.3) are detailed in Annex A.The fields within the BAS_Business_Segment (Table 4) are used to capture the individual organizational unit represented by each box on an organizational diagram.",,,,,ABIE,ADC_ Business Segment. Details,ADC,Business Segment,,,,,,,,,
Base,1,BAS_Business_Segment,1,Business_Segment_Code,String,%25s,The code of each business segment.,1,PK,,,IDBIE,ADC_ Business Segment. ID,ADC,Business Segment,,Identification,,Identifier,,,1,1,"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code ""NA,"" description ""N. America,"" and type ""global area"" using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?)."
Base,1,BAS_Business_Segment,2,Business_Segment_Name,String,%25s,The name of the business segment.,1,,,,BBIE,ADC_ Business Segment. Business Segment. Name,ADC,Business Segment,,Business Segment,,Name,,,1,1,See above; an unlimited number of units and structures are permitted.
Base,1,BAS_Business_Segment,3,Segment_Reference_Level,String,%2c,The relative level of the segment with being the consolidated level and numbers increasing through lower levels of the organizational chart.,1,,,,BBIE,ADC_ Business Segment. Segment Reference Level. Code,ADC,Business Segment,,Segment Reference Level,,Code,,,0,1,The relationships between higher-level hierarchies are captured once per Business Segment.
Base,1,BAS_Business_Segment,4,Organization_Type_Name,String,%60s,"Indicates the name of the organization type, for example, ""Department"" and ""Cost Center"".",1,,,,BBIE,ADC_ Business Segment. Organization Type. Name,ADC,Business Segment,,Organization Type,,Name,,,0,1,gl-bus:organizationIdentifier
Base,2,BAS_Business_Segment_Hierarchy,0,,,,"The fields in the BAS_Business_Segment_Hierarchy (Table 6) are used to capture the relationships between the individual organization units. The table assumes a one_to_one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division).  Instructions on how to implement the business segment structures (see 4.4.2 and 4.4.3) are detailed in Annex A.",,,,,ABIE,ADC_ Business Segment Hierarchy. Details,ADC,Business Segment Hierarchy,,,,,,,,,
Base,2,BAS_Business_Segment_Hierarchy,1,Parent_Code,String,%25s,The code of the parent business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,RFBIE,ADC_ Business Segment Hierarchy. Parent. ADC_ Business Segment,ADC,Business Segment Hierarchy,,Parent,,,ADC,Business Segment,1,1,
Base,2,BAS_Business_Segment_Hierarchy,2,Child_Code,String,%25s,The code of the child business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,RFBIE,ADC_ Business Segment Hierarchy. Child. ADC_ Business Segment,ADC,Business Segment Hierarchy,,Child,,,ADC,Business Segment,1,1,
Base,3,BAS_Employee,0,,,,The personnel information of the employee in an independent accounting unit is contained in Table 8.,,,,,ABIE,ADC_ Employee. Details,ADC,Employee,,,,,,,,,
Base,3,BAS_Employee,1,Employee_ID,String,%60s,The unique identifier for an employee. Typically auto-generated by the system.,1,PK,,,IDBIE,ADC_ Employee. ID,ADC,Employee,,Identification,,Identifier,,,1,1,"gl-cor:identifierCode with gl-cor:identifierCategory = ""employee"""
