No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
2,Base,BS01,,ABIE,0,--,Business Segment,,,,,,BasBusSg,"The BAS_Business_Segment [BasBusSg] and the BAS_Business_Segment_Hierarchy [BasBusSgHrchy] have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units e.g. business unit, department, cost center and project).The fields within the BAS_Business_Segment [BasBusSg] are used to capture the individual organizational unit represented by each box on an organizational diagram.",,
3,Base,BS01,01,PKBIE,1,1..1,Business Segment,Business Segment Code,Identifier,,,IDENTIFIER 25,BusSgCd,Code for each business segment.,,
4,Base,BS01,02,BBIE,1,0..1,Business Segment,Business Segment Name,Text,,,NAME 25,BusSgNm,Name of the business segment.,,
5,Base,BS01,03,BBIE,1,0..1,Business Segment,Segment Reference Level,Code,,,REFERENCE LEVEL,SgRefLevel,"Relative level of the segment, with 1 being the consolidated level and the numbers increasing through the lower levels of the organizational chart.",,
6,Base,BS01,04,BBIE,1,0..1,Business Segment,Organization Type Name,Text,,,NAME 60,OrgTypNm,"Indicates the name of the organization type (e.g. department, cost centre).",,
7,Base,BS02,,ABIE,0,--,Business Segment Hierarchy,,,,,,BasBusSgHrchy,"The fields in the BAS_Business_Segment_Hierarchy [BasBusSgHrchy] are used to capture the relationships between the individual organization units. The table assumes a one to one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division).",,
8,Base,BS02,01,RFBIE,1,1..1,Business Segment Hierarchy,Parent Code,,,Business Segment,IDENTIFIER 25,ParCd,Code for the parent business segment.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
9,Base,BS02,02,RFBIE,1,1..1,Business Segment Hierarchy,Child Code,,,Business Segment,IDENTIFIER 25,ChildCd,Code for the child business segment.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
10,Base,BS03,,ABIE,0,--,Employee,,,,,,BasEmp,Contains the personnel information of the employee in an independent accounting unit.,,
11,Base,BS03,01,PKBIE,1,1..1,Employee,Employee ID,Identifier,,,IDENTIFIER 60,EmpId,Unique identifier for an employee. Typically auto-generated by the system.,,
12,Base,BS03,02,BBIE,1,0..1,Employee,Employee Code,Text,,,TEXT 60,EmpCd,"Code for the employee. Each employee has only one code. If someone has part-time jobs in multiple departments, there will be more than one record with different Employee_ID [EmpId] in this table. The part time status will be reflected in Employee_Type_Code [EmpTypCd].",,
13,Base,BS03,03,BBIE,1,0..1,Employee,Employee Name,Text,,,NAME 100,EmpNm,The name of the employee.,,
