Module,#,Kind,Table,No.,Name,Dictionary Entry Name,Description,XBRL GL Taxonomy Element,Object Class Term Qualifier,Object Class Term,Property Term Qualifier,Property Term,Datatype Qualifier,Representation term,Associated Object Class Term Qualifier,Associated Object Class,Datatype,Representation,Level,Key,Ref Field,Ref Table,Occurrence Min,Occurrence Max
Base,1,ABIE,BAS_Business_Segment,0,,ADCS_ Business Segment. Details,"The BAS_Business_Segment (Table 4) and the BAS_Business_Segment_Hierarchy (Table 6) have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units, e.g. business unit, department, cost center and project. Instructions on how to implement the business segment structures (4.4.2 and 4.4.3) are detailed in Annex A.The fields within the BAS_Business_Segment (Table 4) are used to capture the individual organizational unit represented by each box on an organizational diagram.",,ADCS,Business Segment,,,,,,,,,,,,,,
Base,1,IDBIE,BAS_Business_Segment,1,Business_Segment_Code,ADCS_ Business Segment. ID,The code of each business segment.,"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code ""NA,"" description ""N. America,"" and type ""global area"" using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?).",ADCS,Business Segment,,Identification,,Identifier,,,String,%25s,1,PK,,,1,1
Base,1,BBIE,BAS_Business_Segment,2,Business_Segment_Name,ADCS_ Business Segment. Business Segment. Name,The name of the business segment.,See above; an unlimited number of units and structures are permitted.,ADCS,Business Segment,,Business Segment,,Name,,,String,%25s,1,,,,1,1
Base,1,BBIE,BAS_Business_Segment,3,Segment_Reference_Level,ADCS_ Business Segment. Segment Reference Level. Code,The relative level of the segment with being the consolidated level and numbers increasing through lower levels of the organizational chart.,The relationships between higher-level hierarchies are captured once per Business Segment.,ADCS,Business Segment,,Segment Reference Level,,Code,,,String,%2c,1,,,,1,1
Base,1,BBIE,BAS_Business_Segment,4,Organization_Type_Name,ADCS_ Business Segment. Organization Type. Name,"Indicates the name of the organization type, for example, ""Department"" and ""Cost Center"".",gl-bus:organizationIdentifier,ADCS,Business Segment,,Organization Type,,Name,,,String,%60s,1,,,,1,1
Base,2,ABIE,BAS_Business_Segment_Hierarchy,0,,ADCS_ Business Segment Hierarchy. Details,"The fields in the BAS_Business_Segment_Hierarchy (Table 6) are used to capture the relationships between the individual organization units. The table assumes a one_to_one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division).  Instructions on how to implement the business segment structures (see 4.4.2 and 4.4.3) are detailed in Annex A.",,ADCS,Business Segment Hierarchy,,,,,,,,,,,,,,
Base,2,RFBIE,BAS_Business_Segment_Hierarchy,1,Parent_Code,ADCS_ Business Segment Hierarchy. Parent. ADCS_ Business Segment,The code of the parent business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,,ADCS,Business Segment Hierarchy,,Parent,,,ADCS,Business Segment,String,%25s,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,1,1
Base,2,RFBIE,BAS_Business_Segment_Hierarchy,2,Child_Code,ADCS_ Business Segment Hierarchy. Child. ADCS_ Business Segment,The code of the child business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,,ADCS,Business Segment Hierarchy,,Child,,,ADCS,Business Segment,String,%25s,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,1,1
Base,3,ABIE,BAS_Employee,0,,ADCS_ Employee. Details,The personnel information of the employee in an independent accounting unit is contained in Table 8.,,ADCS,Employee,,,,,,,,,,,,,,
Base,3,IDBIE,BAS_Employee,1,Employee_ID,ADCS_ Employee. ID,The unique identifier for an employee. Typically auto-generated by the system.,"gl-cor:identifierCode with gl-cor:identifierCategory = ""employee""",ADCS,Employee,,Identification,,Identifier,,,String,%60s,1,PK,,,1,1
